Nome,idUsuario,Sexo,Faixa,,,,
Belilo,1,Masculino,15-25,,,,
anecy,2,Femenino,15-25,,,,
maromena,3,Femenino,15-25,,,,
juneque,4,Masculino,15-25,,,,
Sonia,9,Femenino,15-25,,,,
neusa,7,Femenino,15-25,,,,
ussene,8,Masculino,26-30,,,,
cleiton,10,Masculino,15-25,,,,
moda,12,Masculino,15-25,,,,
Nelson,13,Masculino,15-25,,,,
Armindo,14,Masculino,15-25,,,,
Jaime,15,Masculino,15-25,,,,
Roberto,16,Masculino,15-25,,,,
braudel,17,Masculino,15-25,,,,
isabel,18,Femenino,15-25,,,,
zariaca,19,Femenino,31-50,,,,
Gudo ,20,Masculino,15-25,,,,
ivodia,21,Femenino,15-25,,,,
frank,22,Masculino,15-25,,,,
Sheila,23,Femenino,15-25,,,,
Altinor,24,Masculino,15-25,,,,
ausse,25,Masculino,15-25,,,,
eu,26,Masculino,15-25,,,,
fe,28,Femenino,31-50,,,,
estevao,29,Masculino,15-25,,,,
